wage,income,age,educ,public,tenure,experience,subordinates,otherjob,internet,trust,urban,region,sex
12000.0,12000,33,5.0,1.0,14.0,14.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
13000.0,13000,35,0.0,1.0,15.0,17.0,1,0,1,0,0,Центральный и Центрально-Черноземный экономический район,male
27000.0,32000,54,0.0,0.0,3.0,25.0,0,0,1,0,0,Центральный и Центрально-Черноземный экономический район,female
3000.0,3000,46,1.0,0.0,0.0,32.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
15000.0,15000,30,0.0,0.0,2.0,10.0,1,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
6000.0,6000,45,0.0,0.0,1.0,6.0,0,1,0,0,0,Восточный и Дальне-Восточный экономический район,male
700.0,700,29,3.0,1.0,3.0,3.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
3600.0,4000,52,3.0,1.0,0.0,17.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
17000.0,17000,44,0.0,0.0,0.0,20.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
4000.0,4000,22,2.0,1.0,0.0,3.0,0,0,1,0,0,Центральный и Центрально-Черноземный экономический район,male
8000.0,30000,25,3.0,0.0,0.0,6.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
5000.0,7200,50,2.0,0.0,1.0,25.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,male
6000.0,6000,23,2.0,0.0,0.0,1.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
130000.0,130000,36,0.0,1.0,3.0,17.0,1,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
8600.0,10000,31,2.0,1.0,10.0,13.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
8500.0,8500,27,4.0,1.0,7.0,7.0,1,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
7000.0,7000,22,0.0,0.0,0.0,4.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
4000.0,4000,41,3.0,0.0,0.0,20.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
7000.0,7000,50,2.0,0.0,2.0,34.0,1,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
10000.0,10000,42,4.0,1.0,2.0,24.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,male
5000.0,5000,38,0.0,1.0,1.0,18.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,female
5000.0,7000,50,1.0,1.0,29.0,29.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
4000.0,9000,21,0.0,0.0,0.0,2.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
4400.0,7200,55,0.0,1.0,0.0,36.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
10000.0,12000,58,2.0,0.0,34.0,35.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
3500.0,3500,31,5.0,1.0,0.0,12.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
4000.0,20000,27,5.0,1.0,1.0,4.0,0,0,1,0,0,Центральный и Центрально-Черноземный экономический район,female
1603.0,2053,35,0.0,1.0,1.0,17.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
9800.0,12300,40,5.0,1.0,7.0,15.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
3069.0,3769,41,0.0,1.0,6.0,18.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
6553.0,9253,38,0.0,1.0,13.0,21.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
12000.0,12000,46,3.0,0.0,0.0,20.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
8000.0,8000,44,0.0,0.0,1.0,20.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
2600.0,2600,36,0.0,1.0,2.0,18.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
8000.0,8350,25,0.0,0.0,0.0,4.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,female
12000.0,12000,27,0.0,0.0,2.0,7.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,male
4500.0,39500,50,0.0,0.0,10.0,31.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
15000.0,15000,29,2.0,0.0,0.0,9.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
2500.0,2500,43,2.0,1.0,21.0,22.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
11000.0,11000,52,2.0,0.0,32.0,35.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
8000.0,13500,52,4.0,1.0,12.0,31.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
6000.0,6500,57,4.0,0.0,24.0,36.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
1700.0,1700,53,0.0,1.0,11.0,25.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
3000.0,3000,51,0.0,1.0,11.0,27.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
3400.0,4960,54,0.0,1.0,6.0,33.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
5000.0,5000,38,2.0,0.0,0.0,8.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
8500.0,8500,30,0.0,1.0,3.0,12.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
6000.0,6000,32,1.0,0.0,10.0,16.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,female
5300.0,5400,26,0.0,1.0,6.0,6.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
15000.0,15000,23,0.0,1.0,0.0,4.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
5500.0,5500,29,0.0,0.0,1.0,8.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,male
10000.0,13780,52,5.0,1.0,25.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
11700.0,11700,45,0.0,1.0,15.0,26.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
1500.0,1500,37,2.0,1.0,0.0,10.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
300.0,2000,33,0.0,0.0,0.0,15.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
3000.0,3000,33,5.0,1.0,13.0,13.0,1,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
12600.0,12600,43,0.0,1.0,4.0,23.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
7000.0,12600,37,0.0,0.0,2.0,17.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,male
12000.0,13700,44,5.0,1.0,1.0,19.0,1,1,1,0,0,Центральный и Центрально-Черноземный экономический район,female
15000.0,15000,43,5.0,1.0,13.0,21.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
15000.0,15000,44,2.0,1.0,0.0,26.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
1000.0,1000,39,3.0,0.0,0.0,10.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,female
5300.0,5300,48,0.0,1.0,6.0,28.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
11000.0,11000,52,0.0,0.0,0.0,35.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
7412.0,7800,34,5.0,1.0,14.0,14.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
11000.0,12000,37,4.0,0.0,1.0,19.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
4000.0,4000,35,3.0,1.0,0.0,16.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
15000.0,16300,23,0.0,1.0,2.0,3.0,0,0,1,0,0,Центральный и Центрально-Черноземный экономический район,female
15000.0,18000,23,0.0,0.0,3.0,4.0,0,1,1,0,0,Центральный и Центрально-Черноземный экономический район,male
10000.0,13200,52,5.0,1.0,5.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
20000.0,20000,51,5.0,0.0,0.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
5000.0,5000,50,4.0,1.0,14.0,33.0,1,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
13000.0,13000,48,4.0,0.0,4.0,29.0,1,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
17000.0,17000,50,3.0,0.0,1.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
8800.0,11860,51,5.0,1.0,27.0,29.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
5000.0,13000,49,0.0,1.0,9.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
