End station,Start station
Сокольническая_Преображенская_площадь,Сокольническая_Черкизовская
Сокольническая_Сокольники,Сокольническая_Преображенская_площадь
Сокольническая_Красносельская,Сокольническая_Сокольники
Сокольническая_Комсомольская,Сокольническая_Красносельская
Сокольническая_Красные_ворота,Сокольническая_Комсомольская
Кольцевая_Комсомольская,Сокольническая_Комсомольская
Сокольническая_Чистые_пруды,Сокольническая_Красные_ворота
Сокольническая_Лубянка,Сокольническая_Чистые_пруды
Калужско-Рижская_Тургеневская,Сокольническая_Чистые_пруды
Люблинская_Сретенский_бульвар,Сокольническая_Чистые_пруды
Сокольническая_Охотный_ряд,Сокольническая_Лубянка
Таганско-Краснопресненская_Кузнецкий_мост,Сокольническая_Лубянка
Сокольническая_Библиотека_имени_Ленина,Сокольническая_Охотный_ряд
Замоскворецкая_Театральная,Сокольническая_Охотный_ряд
Сокольническая_Кропоткинская,Сокольническая_Библиотека_имени_Ленина
Арбатско-Покровская_Арбатская,Сокольническая_Библиотека_имени_Ленина
Филевская_Александровский_сад,Сокольническая_Библиотека_имени_Ленина
Серпуховско-Тимирязевская_Боровицкая,Сокольническая_Библиотека_имени_Ленина
Сокольническая_Парк_культуры,Сокольническая_Кропоткинская
Сокольническая_Фрунзенская,Сокольническая_Парк_культуры
Кольцевая_Парк_культуры,Сокольническая_Парк_культуры
Сокольническая_Спортивная,Сокольническая_Фрунзенская
Сокольническая_Воробьёвы_горы,Сокольническая_Спортивная
Сокольническая_Университет,Сокольническая_Воробьёвы_горы
Сокольническая_Проспект_Вернадского,Сокольническая_Университет
Сокольническая_Юго-Западная,Сокольническая_Проспект_Вернадского
Замоскворецкая_Водный_стадион,Замоскворецкая_Речной_вокзал
Замоскворецкая_Войковская,Замоскворецкая_Водный_стадион
Замоскворецкая_Сокол,Замоскворецкая_Войковская
Замоскворецкая_Аэропорт,Замоскворецкая_Сокол
Замоскворецкая_Динамо,Замоскворецкая_Аэропорт
Замоскворецкая_Белорусская,Замоскворецкая_Динамо
Замоскворецкая_Маяковская,Замоскворецкая_Белорусская
Кольцевая_Белорусская,Замоскворецкая_Белорусская
Замоскворецкая_Тверская,Замоскворецкая_Маяковская
Замоскворецкая_Театральная,Замоскворецкая_Тверская
Таганско-Краснопресненская_Пушкинская,Замоскворецкая_Тверская
Серпуховско-Тимирязевская_Чеховская,Замоскворецкая_Тверская
Замоскворецкая_Новокузнецкая,Замоскворецкая_Театральная
Арбатско-Покровская_Площадь_Революции,Замоскворецкая_Театральная
Замоскворецкая_Павелецкая,Замоскворецкая_Новокузнецкая
Калужско-Рижская_Третьяковская,Замоскворецкая_Новокузнецкая
Калининская_Третьяковская,Замоскворецкая_Новокузнецкая
Замоскворецкая_Автозаводская,Замоскворецкая_Павелецкая
Кольцевая_Павелецкая,Замоскворецкая_Павелецкая
Замоскворецкая_Коломенская,Замоскворецкая_Автозаводская
Замоскворецкая_Каширская,Замоскворецкая_Коломенская
Замоскворецкая_Кантемировская,Замоскворецкая_Каширская
Каховская_Каширская,Замоскворецкая_Каширская
Замоскворецкая_Царицыно,Замоскворецкая_Кантемировская
Замоскворецкая_Орехово,Замоскворецкая_Царицыно
Замоскворецкая_Домодедовская,Замоскворецкая_Орехово
Замоскворецкая_Красногвардейская,Замоскворецкая_Домодедовская
Люблинская_Зябликово,Замоскворецкая_Красногвардейская
Замоскворецкая_Алма-Атинская,Замоскворецкая_Красногвардейская
Арбатско-Покровская_Первомайская,Арбатско-Покровская_Щёлковская
Арбатско-Покровская_Измайловская,Арбатско-Покровская_Первомайская
Арбатско-Покровская_Партизанская,Арбатско-Покровская_Измайловская
Арбатско-Покровская_Семёновская,Арбатско-Покровская_Партизанская
Арбатско-Покровская_Электрозаводская,Арбатско-Покровская_Семёновская
Арбатско-Покровская_Бауманская,Арбатско-Покровская_Электрозаводская
Арбатско-Покровская_Курская,Арбатско-Покровская_Бауманская
Арбатско-Покровская_Площадь_Революции,Арбатско-Покровская_Курская
Кольцевая_Курская,Арбатско-Покровская_Курская
Люблинская_Чкаловская,Арбатско-Покровская_Курская
Арбатско-Покровская_Арбатская,Арбатско-Покровская_Площадь_Революции
Арбатско-Покровская_Смоленская,Арбатско-Покровская_Арбатская
Филевская_Александровский_сад,Арбатско-Покровская_Арбатская
Серпуховско-Тимирязевская_Боровицкая,Арбатско-Покровская_Арбатская
Арбатско-Покровская_Киевская,Арбатско-Покровская_Смоленская
Арбатско-Покровская_Парк_Победы,Арбатско-Покровская_Киевская
Филевская_Киевская,Арбатско-Покровская_Киевская
Кольцевая_Киевская,Арбатско-Покровская_Киевская
Арбатско-Покровская_Славянский_бульвар,Арбатско-Покровская_Парк_Победы
Калининская_Парк_Победы,Арбатско-Покровская_Парк_Победы
Арбатско-Покровская_Кунцевская,Арбатско-Покровская_Славянский_бульвар
Арбатско-Покровская_Молодёжная,Арбатско-Покровская_Кунцевская
Филевская_Кунцевская,Арбатско-Покровская_Кунцевская
Арбатско-Покровская_Крылатское,Арбатско-Покровская_Молодёжная
Арбатско-Покровская_Строгино,Арбатско-Покровская_Крылатское
Арбатско-Покровская_Мякинино,Арбатско-Покровская_Строгино
Филевская_Пионерская,Филевская_Кунцевская
Филевская_Филёвский_парк,Филевская_Пионерская
Филевская_Багратионовская,Филевская_Филёвский_парк
Филевская_Фили,Филевская_Багратионовская
Филевская_Кутузовская,Филевская_Фили
Филевская_Студенческая,Филевская_Кутузовская
Филевская_Киевская,Филевская_Студенческая
Филевская_Смоленская,Филевская_Киевская
Филевская_Выставочная,Филевская_Киевская
Кольцевая_Киевская,Филевская_Киевская
Филевская_Арбатская,Филевская_Смоленская
Филевская_Александровский_сад,Филевская_Арбатская
Филевская_Международная,Филевская_Выставочная
Калининская_Деловой_центр,Филевская_Выставочная
Кольцевая_Октябрьская,Кольцевая_Парк_культуры
Кольцевая_Добрынинская,Кольцевая_Октябрьская
Калужско-Рижская_Октябрьская,Кольцевая_Октябрьская
Кольцевая_Павелецкая,Кольцевая_Добрынинская
Серпуховско-Тимирязевская_Серпуховская,Кольцевая_Добрынинская
Кольцевая_Таганская,Кольцевая_Павелецкая
Кольцевая_Курская,Кольцевая_Таганская
Таганско-Краснопресненская_Таганская,Кольцевая_Таганская
Калининская_Марксистская,Кольцевая_Таганская
