instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1.0,2011-01-01,1.0,0.0,1.0,0.0,6.0,0.0,2.0,8.175849000000001,7.99925,0.8058330000000001,10.749882000000001,331.0,654.0,985.0
2.0,2011-01-02,1.0,0.0,1.0,0.0,0.0,0.0,2.0,9.083466,7.346773999999996,0.696087,16.652113,131.0,670.0,801.0
3.0,2011-01-03,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.229108,-3.499270000000001,0.43727299999999997,16.636703,120.0,1229.0,1349.0
4.0,2011-01-04,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.4000000000000004,-1.9999480000000016,0.590435,10.739832,108.0,1454.0,1562.0
5.0,2011-01-05,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.6669790000000013,-0.8681800000000024,0.4369569999999999,12.5223,82.0,1518.0,1600.0
,2011-01-06,1.0,0.0,1.0,0.0,4.0,1.0,1.0,1.6043559999999992,-0.6082059999999974,0.518261,6.0008684,88.0,1518.0,1606.0
7.0,,1.0,0.0,1.0,0.0,5.0,1.0,2.0,1.236534000000001,-2.216626,0.498696,11.304642,148.0,1362.0,1510.0
8.0,2011-01-08,1.0,0.0,1.0,0.0,6.0,0.0,2.0,-0.2449999999999992,-5.2912360000000005,0.535833,17.875868,68.0,891.0,959.0
9.0,2011-01-09,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.4983490000000008,-8.33245,0.4341670000000001,24.25065,54.0,768.0,822.0
10.0,2011-01-10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.9108490000000008,-6.041391999999997,0.482917,14.958889,41.0,1280.0,1321.0
11.0,2011-01-11,1.0,0.0,1.0,0.0,2.0,1.0,2.0,-0.05272299999999941,-3.363375999999999,0.6863640000000001,8.182844000000001,43.0,1220.0,1263.0
12.0,2011-01-12,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.11816899999999995,-5.4087819999999995,0.599545,20.410009,25.0,1137.0,1162.0
13.0,2011-01-13,1.0,0.0,1.0,0.0,4.0,,,-0.2449999999999992,-6.041722,0.4704170000000001,20.167,38.0,1368.0,1406.0
14.0,2011-01-14,,0.0,1.0,0.0,5.0,1.0,1.0,-0.43910999999999945,-3.5647420000000007,0.537826,8.478716,54.0,1367.0,1421.0
15.0,2011-01-15,1.0,0.0,,0.0,6.0,0.0,2.0,2.966650999999999,0.3753920000000015,0.49875,10.583521,222.0,1026.0,1248.0
16.0,2011-01-16,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.8883490000000003,-0.5416779999999992,0.48375,12.625011,251.0,953.0,1204.0
17.0,2011-01-17,1.0,0.0,,1.0,1.0,0.0,2.0,0.264151,-4.333113999999998,0.5375,12.999139,117.0,883.0,1000.0
18.0,2011-01-18,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.183349,-0.6660220000000017,0.861667,9.833925,9.0,674.0,683.0
19.0,2011-01-19,1.0,0.0,1.0,0.0,3.0,1.0,2.0,5.732177999999998,3.695851999999999,0.741739,13.957239000000001,78.0,1572.0,1650.0
20.0,2011-01-20,1.0,0.0,1.0,0.0,4.0,1.0,,4.298349,0.8333000000000013,0.538333,13.125568,83.0,1844.0,1927.0
21.0,2011-01-21,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.34249999999999936,-5.583022,0.457083,23.667214,75.0,1468.0,1543.0
22.0,2011-01-22,1.0,0.0,1.0,0.0,6.0,0.0,1.0,-5.2208712,-10.7814064,0.4,11.521989999999999,93.0,888.0,981.0
23.0,2011-01-23,1.0,0.0,,0.0,0.0,0.0,1.0,-3.4634801,-9.4766194,0.436522,16.5222,150.0,836.0,986.0
24.0,2011-01-24,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-3.4226089,-8.216619999999999,0.491739,10.60811,86.0,1330.0,1416.0
25.0,2011-01-25,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.5034660000000013,-0.5212839999999996,0.616957,8.696332,186.0,1799.0,1985.0
26.0,2011-01-26,1.0,0.0,1.0,0.0,3.0,1.0,3.0,2.2225,-2.5624,0.8625,19.68795,34.0,472.0,506.0
27.0,2011-01-27,1.0,0.0,1.0,0.0,4.0,1.0,1.0,1.1650000000000011,-1.4998000000000005,0.6875,7.627078999999998,15.0,416.0,431.0
28.0,2011-01-28,1.0,0.0,1.0,0.0,5.0,1.0,2.0,1.563466,-1.2610779999999997,0.7930430000000002,8.2611,38.0,1129.0,1167.0
29.0,2011-01-29,1.0,0.0,1.0,0.0,6.0,0.0,1.0,1.236534000000001,-1.999684,0.6517390000000001,9.739455,123.0,975.0,1098.0
30.0,2011-01-30,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.176534,0.5212520000000005,0.722174,4.9568341999999985,140.0,956.0,1096.0
31.0,2011-01-31,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.4991509999999994,-3.7075,0.60375,12.541864,42.0,1459.0,1501.0
32.0,2011-02-01,1.0,0.0,2.0,0.0,2.0,1.0,2.0,1.032178,-0.5210199999999983,0.8295650000000001,3.565271,47.0,1313.0,1360.0
33.0,2011-02-02,1.0,0.0,2.0,0.0,3.0,1.0,2.0,4.2200000000000015,0.7915220000000005,0.775417,17.708636,72.0,1454.0,1526.0
34.0,2011-02-03,1.0,0.0,2.0,0.0,4.0,1.0,1.0,0.7869789999999988,-4.260052,0.4378260000000001,18.609384,61.0,1489.0,1550.0
35.0,2011-02-04,1.0,0.0,2.0,0.0,5.0,1.0,2.0,1.9312880000000003,-0.9132580000000008,0.585217,8.565213,88.0,1620.0,1708.0
36.0,2011-02-05,1.0,0.0,2.0,0.0,6.0,0.0,2.0,2.966650999999999,0.04182799999999887,0.929167,10.792292999999999,100.0,905.0,1005.0
37.0,2011-02-06,1.0,0.0,2.0,0.0,0.0,,1.0,5.434151,3.2502860000000027,0.568333,9.5006,354.0,1269.0,1623.0
38.0,2011-02-07,1.0,0.0,2.0,0.0,1.0,1.0,1.0,4.768348999999999,4.041428,0.7383330000000001,3.042356100000001,120.0,1592.0,1712.0
39.0,2011-02-08,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.379151,-2.915764,0.537917,24.25065,64.0,1466.0,1530.0
40.0,2011-02-09,1.0,0.0,2.0,0.0,3.0,1.0,2.0,-1.6651990000000003,-6.477322000000001,0.494783,12.652213,53.0,1552.0,1605.0
41.0,2011-02-10,1.0,0.0,2.0,0.0,4.0,1.0,1.0,-1.2156440000000002,-6.129831999999999,0.437391,14.869645000000002,47.0,1491.0,1538.0
42.0,2011-02-11,1.0,0.0,2.0,0.0,5.0,1.0,1.0,0.8872770000000011,-1.9084059999999996,0.506364,7.272849999999999,149.0,1597.0,1746.0
