instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,8.175849,7.99925,0.8058330000000001,10.749882,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,9.083466000000001,7.346773999999996,0.696087,16.652113,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,1.229108,-3.499270000000001,0.437273,16.636703,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,1.4000000000000004,-1.9999480000000016,0.590435,10.739832,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,2.6669790000000013,-0.8681800000000024,0.43695699999999993,12.522300000000001,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,1.6043559999999992,-0.6082059999999974,0.518261,6.0008684,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,1.2365340000000007,-2.2166259999999998,0.49869600000000003,11.304642,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,-0.24499999999999922,-5.291236,0.535833,17.875868,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,-1.498349000000001,-8.33245,0.4341670000000001,24.25065,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,-0.9108490000000007,-6.041391999999998,0.482917,14.958889000000001,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,-0.05272299999999941,-3.363375999999999,0.6863640000000001,8.182844,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,0.11816899999999997,-5.408782,0.599545,20.410009,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,-0.24499999999999922,-6.041722,0.4704170000000001,20.166999999999998,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,-0.43910999999999945,-3.5647420000000007,0.537826,8.478716,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,2.966650999999999,0.3753920000000015,0.49875,10.583521000000001,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,2.888349,-0.5416779999999992,0.48375,12.625010999999999,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,0.264151,-4.333113999999998,0.5375,12.999139,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,2.1833489999999998,-0.6660220000000017,0.861667,9.833924999999999,9,674,683
19,2011-01-19,1,0,1,0,3,1,2,5.732177999999999,3.6958519999999986,0.741739,13.957239,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,4.298349,0.8333000000000013,0.538333,13.125568,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,0.34249999999999936,-5.583022,0.457083,23.667214,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,-5.2208711999999995,-10.7814064,0.4,11.52199,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,-3.4634801,-9.476619399999999,0.436522,16.5222,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,-3.4226089,-8.21662,0.49173900000000004,10.60811,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,2.5034660000000013,-0.5212839999999996,0.616957,8.696332,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,2.2225,-2.5624000000000002,0.8625,19.68795,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,1.165000000000001,-1.4998000000000005,0.6875,7.627078999999999,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,1.563466,-1.2610779999999995,0.7930430000000002,8.2611,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,1.2365340000000007,-1.9996840000000002,0.6517390000000001,9.739455000000001,123,975,1098
30,2011-01-30,1,0,1,0,0,0,1,2.176534,0.5212520000000005,0.722174,4.956834199999999,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,0.49915099999999946,-3.7074999999999996,0.60375,12.541864,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,1.032178,-0.5210199999999983,0.8295650000000001,3.5652709999999996,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,4.220000000000001,0.7915220000000005,0.775417,17.708636,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,0.7869789999999988,-4.260052,0.43782600000000005,18.609384,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,1.9312880000000003,-0.9132580000000008,0.585217,8.565213,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,2.966650999999999,0.041827999999998866,0.929167,10.792293,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,5.434151,3.2502860000000027,0.568333,9.5006,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,4.768348999999999,4.041428,0.7383330000000001,3.0423561000000006,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,2.3791510000000002,-2.9157639999999994,0.537917,24.25065,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,-1.6651990000000003,-6.477322000000001,0.494783,12.652213,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,-1.2156440000000002,-6.129831999999999,0.43739100000000003,14.869645,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,0.887277000000001,-1.9084059999999994,0.506364,7.272849999999999,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,2.4574999999999996,-0.6250359999999997,0.544167,13.625589000000002,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,6.8765339999999995,5.391458,0.457391,17.479160999999998,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,11.504999999999999,10.2911,0.3758329999999999,27.999836,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,4.506088999999998,0.7820840000000011,0.314348,19.522057999999998,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,6.958267000000001,4.869199999999999,0.423478,16.869996999999998,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,12.484150999999997,12.291428,0.505,15.416968,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,16.518349,17.790878,0.516667,17.749975000000003,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,10.760849,9.832663999999998,0.187917,34.000021,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,5.405199,2.3037799999999997,0.407826,14.956745,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,6.2566510000000015,2.7489500000000007,0.605,20.625682,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,0.5644340000000003,-3.7218219999999995,0.577778,13.110761,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,2.4217329999999997,0.2173220000000029,0.423043,6.3055710000000005,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,5.895644000000001,3.0866059999999997,0.697391,16.783231999999998,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,9.124355999999999,7.130426,0.712174,23.218113,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,5.277499999999998,2.6246720000000003,0.537917,12.500257000000001,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,8.143466,7.173193999999999,0.68,8.391615999999999,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,11.141831,10.407787999999996,0.8763639999999999,19.408962,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,4.533348999999999,1.416013999999997,0.535,14.500475,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,7.745000000000001,5.1246860000000005,0.449583,20.624810999999998,231,1903,2134
62,2011-03-03,1,0,3,0,4,1,1,1.3216509999999992,-2.7912219999999994,0.318333,15.125518000000001,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,4.298349,0.8748140000000006,0.610417,13.624182,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,10.055848999999998,8.999413999999998,0.789167,16.875357,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,9.696534,8.172632,0.948261,23.000229,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,4.3017330000000005,-0.26157399999999953,0.551304,22.870584,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,5.747499999999999,3.958400000000001,0.420833,8.083549999999999,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,5.904151000000001,2.916127999999997,0.775417,14.750050000000002,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,10.287277,9.454088000000002,0.0,17.545758999999997,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,6.8765339999999995,4.129999999999999,0.649565,15.608989999999999,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,7.470848999999999,5.499499999999998,0.594583,14.791924999999999,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,10.064356,9.086006000000001,0.5273909999999999,18.130468,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,7.285199000000002,5.912000000000003,0.4969569999999999,9.174042,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,6.917376999999998,4.999748,0.655652,12.348703,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,9.165199000000001,8.217380000000002,0.776522,13.608839000000001,321,1871,2192
