Country Name,Country Code,Lifeexpectancy,Agriculturaland,Children_out_of_school_primary ,Fertility_rate,GDP,GDP_per_capita,High-technology_exports,Household_final_consumption,Individuals_using_the_Internet,Labor_force,Population
Afghanistan,AFG,63.29819512,379100,,4.802,19215562179,569.5779229,15363474,16202253853,8.26,10087656,33736494
Albania,ALB,78.20314634,11743,,1.714,11335264967,3934.895394,15123662,9129271284,63.2529327,1333025,2880703
Algeria,DZA,75.85529268,414564,40114,2.839,165874330876,4160.220067,2449466,68068894198,38.2,11798754,39871528
American Samoa,ASM,,49,,,659000000,11865.96323,13343455,442000000,,,55537
Andorra,AND,,188.1,,,2811489409,36038.2676,23132434,,96.91,,78014
Angola,AGO,61.18934146,591900,,5.766,102962245247,3695.793748,232434,78465660063,12.4,11464497,27859305
Antigua and Barbuda,ATG,76.07563415,90,1012,2.063,1364863037,13659.14791,578212,,70,,99923
Arab World,ARB,71.02843854,4796187.1,,3.373839686,2563301730345,6435.525509,21792345,1403996252434,39.86746329,129331522,398304960
Argentina,ARG,76.29302439,1487000,,2.308,584711485367,13467.10236,1442450760,382707351815,68.04306411,19486807,43417765
Armenia,ARM,74.20619512,16764.3,5250,1.622,10553337673,3617.935746,11067794,8240058395,59.10237771,1398281,2916950
Aruba,ABW,75.59434146,20,,1.801,,,1194859,,88.66122693,,104341
Australia,AUS,82.45121951,3659130,59470,1.833,1345383143356,56408.34043,4237456601,761005907313,84.56051935,12559926,23789338
Austria,AUT,81.84390244,27184.5,,1.47,382065930308,44255.58336,15947437007,201101400545,83.94014193,4455936,8633169
Azerbaijan,AZE,71.84519512,47698,29661,1.97,53074370486,5500.310382,9446115,30087936756,77,4873401,9649341
Bahamas. The,BHS,75.36878049,140,,1.778,11240000000,29056.09066,,7404400000,78,232361,386838
Bahrain,BHR,76.86519512,86,2139,2.056,31125851064,22688.87824,23467871,14023936170,93.47830114,777902,1371855
Bangladesh,BGD,72.22160976,91942.1,,2.133,195078665828,1210.158769,90773161,141309707202,14.4,64315877,161200886
Barbados,BRB,75.63790244,140,,1.796,4584150000,16129.04928,26483703,3753300000,76.11,150499,284217
Belarus,BLR,73.62439024,85820,16599,1.724,56454734397,5949.106307,560689500,29851764410,67.3,5113980,9489616
Belgium,BEL,81.28780488,13280,5508,1.74,455200045096,40375.38864,38855955864,232779918937,85.0529,5000922,11274196
Belize,BLZ,70.31097561,1600,359,2.544,1742545900,4849.997495,,1234867600,41.59,161219,359288
Benin,BEN,60.58468293,37500,,5.048,8290986804,783.947091,1523076,5686706980,11.25498791,4264500,10575952
Bermuda,BMU,81.01219512,3,,1.62,,,1013119,,98.32360965,,65235
Bhutan,BTN,69.80712195,5256,,2.086,2059258653,2615.31022,,1169004833,39.8,380653,787386
Bolivia,BOL,68.74980488,377045,139990,2.921,33000198263,3077.026199,24935819,22578642547,35.56227065,4857556,10724705
Bosnia and Herzegovina,BIH,76.64029268,21830,,1.345,16209702864,4584.242548,96042566,13131044514,65.0655028,1413556,3535961
Botswana,BWA,65.75109756,260010,,2.774,14430573505,6532.044677,35802081,7516653476,37.31205037,1077380,2209197
